Number,Next Number,Top 10 Numbers,Top 10 Numbers Distance,Min Distance
14,14.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[6, 12, 18, 2, 10, 12, 16, 9, 13, 15]",2
14,9.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[4, 14, 16, 0, 12, 10, 14, 11, 15, 13]",0
9,6.0,"[27, 14, 23, 5, 26, 29, 0, 3, 8, 16]","[1, 15, 7, 9, 11, 17, 10, 12, 6, 11]",1
6,19.0,"[8, 3, 7, 1, 9, 16, 30, 31, 36, 2]","[13, 5, 9, 17, 13, 18, 12, 14, 10, 3]",3
19,12.0,"[5, 11, 36, 0, 12, 18, 22, 27, 28, 29]","[14, 18, 17, 4, 0, 4, 5, 15, 1, 3]",0
12,14.0,"[2, 4, 6, 8, 10, 11, 16, 17, 18, 27]","[18, 16, 15, 9, 7, 11, 4, 17, 4, 14]",4
14,27.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[17, 2, 5, 16, 4, 11, 7, 5, 1, 8]",1
27,4.0,"[2, 7, 14, 17, 19, 26, 28, 5, 6, 9]","[2, 10, 16, 4, 1, 5, 9, 15, 6, 14]",1
4,11.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[8, 9, 4, 0, 18, 6, 18, 5, 13, 2]",0
11,3.0,"[12, 10, 26, 32, 35, 14, 19, 25, 28, 30]","[2, 17, 1, 3, 1, 10, 5, 9, 3, 17]",1
3,29.0,"[9, 4, 13, 14, 20, 32, 2, 3, 7, 11]","[3, 11, 18, 5, 6, 8, 13, 5, 1, 16]",1
29,32.0,"[7, 22, 33, 3, 19, 21, 32, 0, 8, 12]","[7, 10, 16, 3, 2, 4, 0, 1, 15, 5]",0
32,3.0,"[7, 20, 31, 5, 8, 10, 11, 19, 25, 28]","[4, 11, 9, 16, 18, 17, 16, 5, 9, 3]",3
3,28.0,"[9, 4, 13, 14, 20, 32, 2, 3, 7, 11]","[5, 9, 17, 7, 8, 6, 11, 3, 1, 18]",1
28,22.0,"[21, 32, 4, 6, 8, 12, 0, 3, 5, 9]","[14, 10, 13, 18, 12, 5, 9, 7, 9, 1]",1
22,28.0,"[7, 0, 11, 29, 35, 1, 10, 15, 17, 20]","[1, 5, 18, 2, 2, 9, 14, 7, 13, 8]",1
28,32.0,"[21, 32, 4, 6, 8, 12, 0, 3, 5, 9]","[4, 0, 3, 9, 15, 5, 1, 3, 18, 11]",0
